Player,Position,ID,Draft Year,Projected SPM,Superstar,Starter,Role Player,Bust
Nikola Vucevic,C,nikola-vucevic,2011,-0.242777929,0.002209827,0.265809316,0.38034645,0.351634407
Tyler Honeycutt,SF,tyler-honeycutt,2011,-0.370330712,0.004690562,0.229489888,0.351831823,0.413987728
Klay Thompson,SG,klay-thompson,2011,-0.410841192,0.011865495,0.181933941,0.424087255,0.382113309
Josh Selby,PG,josh-selby,2011,-0.423177433,0.003966667,0.212066667,0.383266667,0.4007
Jordan Hamilton,SF,2-jordan-hamilton,2011,-0.428164487,0.001862831,0.202777928,0.412339699,0.383019541
Jordan Williams,C,jordan-williams,2011,-0.44607608,0.005932099,0.194953909,0.358490947,0.440623045
Iman Shumpert,PG,iman-shumpert,2011,-0.466189214,0.01167475,0.244249444,0.269154752,0.474921055
Willie Reed,PF,willie-reed,2011,-0.485956085,0.00596036,0.199921142,0.344409742,0.449708756
Jimmy Butler,SF,jimmy-butler,2011,-0.501786171,0.000923541,0.192478706,0.423580902,0.383016851
Kyle Singler,SF,kyle-singler,2011,-0.50449569,0,0.211761392,0.407338874,0.380899733
Brad Wanamaker,PG,bradley-wanamaker,2011,-0.507639974,0.002157101,0.218707067,0.363259217,0.415876615
Jimmer Fredette,PG,jimmer-fredette,2011,-0.516017396,0.01183467,0.203995706,0.343229672,0.440939951
Markieff Morris,PF,markieff-morris,2011,-0.522158069,0.004485966,0.166648312,0.470599272,0.35826645
Reggie Jackson,PG,4-reggie-jackson,2011,-0.564375027,0.006523507,0.158053855,0.417360089,0.418062549
Marcus Morris,PF,marcus-morris,2011,-0.59167767,0.00085145,0.168420785,0.439121032,0.391606733
Greg Smith,C,5-greg-smith,2011,-0.626927834,0.002821124,0.183603982,0.326586007,0.486988887
Nolan Smith,SG,nolan-smith,2011,-0.663804856,0.001932567,0.167414409,0.405567523,0.425085501
Jon Diebler,SG,jon-diebler,2011,-0.672365032,0,0.132419773,0.430724626,0.436855601
Chris Singleton,SF,chris-singleton,2011,-0.692153663,0.004260992,0.157669833,0.358535633,0.479533542
Chandler Parsons,SF,chandler-parsons,2011,-0.754461481,0.000245607,0.136776761,0.415688375,0.447289257
Marshon Brooks,SG,marshon-brooks,2011,-0.756014667,0.00204825,0.131074488,0.433667814,0.433209447
Jon Leuer,PF,jon-leuer,2011,-0.779539187,0.002749519,0.154882974,0.352244669,0.490122838
Josh Harrellson,C,josh-harrellson,2011,-0.799567334,0.000384474,0.11937498,0.415778178,0.464462368
Travis Leslie,SG,travis-leslie,2011,-0.813201236,0.00462668,0.112001726,0.401183835,0.482187759
